Test Donor,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precision,Average of AUC
1,1e-05,32,0.6523928373790402,0.8094048270365095,0.7335154026551071
2,1e-05,32,0.6946700991609459,0.7008087602881643,0.7764612262638755
3,1e-05,32,0.5812340153452685,0.6820113222772198,0.6670529846653647
5,1e-05,32,0.6307135792913656,0.6717493287610551,0.7421185880349195
6,1e-05,32,0.6451118738876176,0.6914432926521419,0.7221074673470782
1,0.01,16,0.4040348166345104,0.5602848166345105,0.5
2,0.01,16,0.5375261737036539,0.38771537219006597,0.5
3,0.01,16,0.4094584754191532,0.5235889102017619,0.5
5,0.01,16,0.5912248452012383,0.40877515479876164,0.5
6,0.01,16,0.2126168001525553,0.482997234935164,0.5
1,0.0001,16,0.6973359376168469,0.9182630841356353,0.8908456447592924
2,0.0001,16,0.8389879750527213,0.8545938595870044,0.8811940134221572
3,0.0001,16,0.7614814222790566,0.822466318862905,0.8258443969459901
5,0.0001,16,0.7947529669762641,0.8688412257988578,0.8623982089905742
6,0.0001,16,0.7959644355453852,0.8247285845429524,0.8555567688314282
1,0.01,4,0.5195318926579022,0.5602848166345105,0.5
2,0.01,4,0.5779709023197379,0.38771537219006597,0.5
3,0.01,4,0.25320847541915315,0.5235889102017619,0.5
5,0.01,4,0.5956108101135191,0.42069353771256784,0.5081521739130435
6,0.01,4,0.2126168001525553,0.482997234935164,0.5
1,1e-05,8,0.6762167033098518,0.8240940990318328,0.7626193640733125
2,1e-05,8,0.7355754849613376,0.7374267635492566,0.8124018504784156
3,1e-05,8,0.6570394643364592,0.7248840848578929,0.7198102852188193
5,1e-05,8,0.66609369625043,0.7232168909259387,0.798319331471292
6,1e-05,8,0.7196542079837275,0.7415006141564835,0.7848166616279917
1,0.001,16,0.6324049146737261,0.7286759992287268,0.7033753315649868
2,0.001,16,0.5451707647208387,0.6796074307436057,0.6850320813134817
3,0.001,16,0.7909331486217676,0.8339323183879098,0.8518924610577949
5,0.001,16,0.6608326883384932,0.6797882447311429,0.7011271028754897
6,0.001,16,0.8404343058733791,0.8500414240018598,0.874815948927844
1,0.001,8,0.6549539342815692,0.735822796927491,0.7239749618197894
2,0.001,8,0.8726176321024214,0.8527594588310331,0.8895816472420919
3,0.001,8,0.6642583120204604,0.7870763736238454,0.7070090693176649
5,0.001,8,0.8646446078431372,0.8369757254220547,0.8266635304327123
6,0.001,8,0.6898097826086956,0.8139983212981535,0.7991719601954818
1,0.001,64,0.6088888234546297,0.7592920251435553,0.7402357275594538
2,0.001,64,0.809481798058659,0.7780838376063309,0.8709938276207378
3,0.001,64,0.6134208937198068,0.73341472176722,0.6832666210775962
5,0.001,64,0.5975898692810457,0.7482683780507615,0.813037711161238
6,0.001,64,0.6766661899313501,0.7812804952779321,0.7961613864310308
1,0.0001,64,0.6982006513513109,0.8612119292479012,0.7890124306779915
2,0.0001,64,0.7434773260944347,0.7996015881171612,0.8584359065765367
3,0.0001,64,0.6507317419721512,0.7306427233256404,0.731413740187902
5,0.0001,64,0.6536958204334365,0.7588121804452621,0.8058415255061679
6,0.0001,64,0.7244732074752097,0.7041162544840879,0.7431471639401432
1,0.1,8,0.4040348166345104,0.5602848166345105,0.5
2,0.1,8,0.27358493740745726,0.38771537219006597,0.5
3,0.1,8,0.3063334754191532,0.5329259547361749,0.5262820512820513
5,0.1,8,0.4023359563123495,0.40877515479876164,0.5
6,0.1,8,0.3281138761759471,0.482997234935164,0.5
1,0.01,64,0.49227011075215743,0.6521091011015034,0.570141065830721
2,0.01,64,0.27358493740745726,0.38771537219006597,0.5
3,0.01,64,0.2875222009093492,0.5235889102017619,0.5
5,0.01,64,0.595391511867905,0.527051551503102,0.6106875719217492
6,0.01,64,0.326747234935164,0.482997234935164,0.5
1,0.0001,8,0.8155708297811879,0.8846394635433107,0.8589990313657492
2,0.0001,8,0.8299144867710623,0.8223794115260392,0.87394915184641
3,0.0001,8,0.6991483731173629,0.7946073854115431,0.8191825605788094
5,0.0001,8,0.741078646370829,0.8511675202988827,0.85752013823353
6,0.0001,8,0.8091310704296975,0.8183622132094619,0.8607051131695227
1,0.1,32,0.5602848166345105,0.5602848166345105,0.5
2,0.1,32,0.38771537219006597,0.38771537219006597,0.5
3,0.1,32,0.44377220090934927,0.5235889102017619,0.5
5,0.1,32,0.5842804007567939,0.43229607831968514,0.5351697353279632
6,0.1,32,0.482997234935164,0.482997234935164,0.5
1,1e-05,128,0.6093722424133651,0.7380612882623588,0.628094915633197
2,1e-05,128,0.6522464515936046,0.6646284278500073,0.7509022667551717
3,1e-05,128,0.5745275646490481,0.6231636165282829,0.5848363786803545
5,1e-05,128,0.5675105349157207,0.5683551363016508,0.6093820087278659
6,1e-05,128,0.5966413996948894,0.6543305681210412,0.6573441102962619
1,1e-05,64,0.6522034519376019,0.7857756450080247,0.6925905681957061
2,1e-05,64,0.6753718535469108,0.6882772640729992,0.7707001695917066
3,1e-05,64,0.6070918584825234,0.6646391525193708,0.6424694891457678
5,1e-05,64,0.6383288183694531,0.6330792455029075,0.6892485941679952
6,1e-05,64,0.5692458047292144,0.6770274133033003,0.6974991650523854
1,0.1,16,0.4383485421247065,0.5602848166345105,0.5
2,0.1,16,0.3917994047351969,0.3887293241693002,0.5018656716417911
3,0.1,16,0.4462231813015062,0.5268197479914232,0.5028409090909091
5,0.1,16,0.5884470674234605,0.41357313459674144,0.508199079401611
6,0.1,16,0.2038448703279939,0.47721862503756096,0.483695652173913
1,0.0001,4,0.8160714018635677,0.9170786542584797,0.8851184431398745
2,0.0001,4,0.7778078775369797,0.831338060486733,0.8870482695507098
3,0.0001,4,0.7408354646206309,0.7987296374681154,0.8229125278038205
5,0.0001,4,0.8129439714482284,0.8742534237797398,0.867094516011004
6,0.0001,4,0.7838609204169845,0.8023218095604567,0.8363230447475511
1,0.1,4,0.4383485421247065,0.5602848166345105,0.5
2,0.1,4,0.610917986569151,0.38771537219006597,0.5
3,0.1,4,0.25320847541915315,0.5235889102017619,0.5
5,0.1,4,0.4023359563123495,0.40877515479876164,0.5
6,0.1,4,0.5655956013221459,0.5464715115055,0.5725250836120401
1,0.001,4,0.6389000127129418,0.7283498232141412,0.7178756731773973
2,0.001,4,0.7264150625925427,0.42026346301041867,0.5108206493703665
3,0.001,4,0.4206743748223927,0.5756785373859927,0.5587925755836204
5,0.001,4,0.4493388802889577,0.5097968185842179,0.5384384548232213
6,0.001,4,0.7564653254513094,0.6631696480980152,0.7559701017917673
1,0.001,128,0.7445931671677061,0.7827407927816772,0.7636280679590275
2,0.001,128,0.8029144419018561,0.7328137446576344,0.8402914131189907
3,0.001,128,0.6990373685706166,0.7612417504851534,0.7761095815855599
5,0.001,128,0.609358875128999,0.730818253041027,0.8068819147233501
6,0.001,128,0.7696550025425883,0.7628286519846742,0.809533566292832
1,0.001,32,0.6546768669328906,0.7692508824551522,0.7852745106154783
2,0.001,32,0.8634759052362363,0.7992390388964319,0.86943048484603
3,0.001,32,0.7266357630008524,0.822271076439905,0.8375374380337995
5,0.001,32,0.6034367475060199,0.7874661458438215,0.798249315503353
6,0.001,32,0.7952318522756165,0.8336978794366827,0.8704409401367299
1,0.0001,128,0.6930699510925652,0.8554758364563448,0.8002619391431515
2,0.0001,128,0.7527015001271294,0.74979121438219,0.8244380045176559
3,0.0001,128,0.6391659562375676,0.7436647062359321,0.7501597786213692
5,0.0001,128,0.7534227726178191,0.7476915641652844,0.8303998384206144
6,0.0001,128,0.7613335875921687,0.7416785122257203,0.7908742133975297
1,0.01,128,0.5793411891835301,0.6719109888681196,0.6445409332047263
2,0.01,128,0.38771537219006597,0.38771537219006597,0.5
3,0.01,128,0.520161089798238,0.5338112676470621,0.5333716915995397
5,0.01,128,0.5510201668386653,0.46240428101685954,0.5740278055736229
6,0.01,128,0.326747234935164,0.482997234935164,0.5
1,0.0001,32,0.815728853516998,0.9040532300230781,0.8748165407954619
2,0.0001,32,0.7961782653564858,0.8110270761236515,0.8585581425469014
3,0.0001,32,0.7495950554134698,0.7956776529824944,0.7968932763930467
5,0.0001,32,0.762282851737186,0.8072218360881775,0.8422643841396997
6,0.0001,32,0.8394641495041953,0.8223198518688246,0.8392972102168744
1,0.01,8,0.4804681073420978,0.5602848166345105,0.5
2,0.01,8,0.4610118379922526,0.38666375016825955,0.49728260869565216
3,0.01,8,0.47641108979823815,0.5235889102017619,0.5
5,0.01,8,0.5912248452012383,0.40877515479876164,0.5
6,0.01,8,0.36886680015255535,0.482997234935164,0.5
1,1e-05,4,0.7252177091278922,0.8308135979087707,0.7753628618057113
2,1e-05,4,0.7358719956327306,0.7465573215572292,0.8181441185805771
3,1e-05,4,0.6221538434214267,0.7288958400211302,0.7129789852957651
5,1e-05,4,0.7142586859305124,0.7354992472944213,0.7998498357376149
6,1e-05,4,0.7448806572590898,0.7518056900550132,0.7919000132137172
1,0.01,32,0.4040348166345104,0.5602848166345105,0.5
2,0.01,32,0.38771537219006597,0.38771537219006597,0.5
3,0.01,32,0.2875222009093492,0.5235889102017619,0.5
5,0.01,32,0.5912248452012383,0.40877515479876164,0.5
6,0.01,32,0.326747234935164,0.482997234935164,0.5
1,1e-05,16,0.6516310423864435,0.8211493107519339,0.7467680212315302
2,1e-05,16,0.7189391050088991,0.718692199232096,0.800069185507121
3,1e-05,16,0.6154314080704746,0.7204995230252498,0.730931824102452
5,1e-05,16,0.680545880632955,0.6987697749355926,0.7675436601761967
6,1e-05,16,0.6941703216374269,0.717385318730402,0.7597926538587625
1,0.1,64,0.40549680493860396,0.5606804134697356,0.501
2,0.1,64,0.38771537219006597,0.38771537219006597,0.5
3,0.1,64,0.5451610897982382,0.5338344064008663,0.5332997698504027
5,0.1,64,0.4023359563123495,0.40877515479876164,0.5
6,0.1,64,0.326747234935164,0.482997234935164,0.5
1,0.1,128,0.4571598166345104,0.5725444320191257,0.5326923076923077
2,0.1,128,0.38771537219006597,0.38771537219006597,0.5
3,0.1,128,0.44377220090934927,0.5235889102017619,0.5
5,0.1,128,0.5870581785345717,0.41974852486304076,0.5171892980437285
6,0.1,128,0.326747234935164,0.482997234935164,0.5
