Test Donor,Learning Rate,Batch Size,Number of Neurons,Average of Accuracy,Average of Average Precision,Average of AUC
1,0.1,64,128,0.44615438185190176,0.5602848166345105,0.5
2,0.1,64,128,0.5605130419826208,0.4590792870742014,0.5814067398119123
3,0.1,64,128,0.5579026356919579,0.5235889102017619,0.5
5,0.1,64,128,0.4414140436876505,0.40877515479876164,0.5
6,0.1,64,128,0.326747234935164,0.482997234935164,0.5
1,0.0001,16,64,0.77897242039455,0.8976510949230466,0.8823677646225421
2,0.0001,16,64,0.797966303226096,0.7833681210168584,0.8519590606739208
3,0.0001,16,64,0.7113002628587667,0.7575980703929439,0.7918536699532012
5,0.0001,16,64,0.6713009545923633,0.7403547141514817,0.8071781299754655
6,0.0001,16,64,0.7788957220950927,0.7808671516256869,0.8300294375902315
1,0.1,16,128,0.5616514578752936,0.5602848166345105,0.5
2,0.1,16,128,0.4624738262963462,0.38771537219006597,0.5
3,0.1,16,128,0.2875222009093492,0.5235889102017619,0.5
5,0.1,16,128,0.5617109563123495,0.4113463573304072,0.5083333333333333
6,0.1,16,128,0.3437388761759471,0.48660300416593316,0.5096153846153846
1,0.1,8,64,0.6621416539537249,0.6380563098471801,0.5808189655172414
2,0.1,8,64,0.5779709023197379,0.38771537219006597,0.5
3,0.1,8,64,0.25049108411480536,0.5235889102017619,0.495
5,0.1,8,64,0.4757277691778466,0.40877515479876164,0.5
6,0.1,8,64,0.476747234935164,0.5033255177634468,0.5457422324510932
1,0.0001,32,64,0.7360761505212307,0.8779351940671463,0.8441056847893765
2,0.0001,32,64,0.8072972285786931,0.7646490192701056,0.8456938954028301
3,0.0001,32,64,0.6951211281614095,0.7606376242097077,0.7831207753648421
5,0.0001,32,64,0.7310059769521844,0.764248987603557,0.8244803281615809
6,0.0001,32,64,0.8108981693363845,0.7855580644354672,0.8618245733913802
1,0.01,8,64,0.32421810734209777,0.5602848166345105,0.5
2,0.01,8,64,0.6122846278099341,0.38771537219006597,0.5
3,0.01,8,64,0.2875222009093492,0.5235889102017619,0.5
5,0.01,8,64,0.6319777691778465,0.40877515479876164,0.5
6,0.01,8,64,0.4843638761759471,0.482997234935164,0.5
1,0.001,8,64,0.6962497289152121,0.6237720560192039,0.5662608695652174
2,0.001,8,64,0.3890820134308491,0.3938493665963716,0.5044347826086957
3,0.001,8,64,0.47641108979823815,0.5235889102017619,0.49920886075949367
5,0.001,8,64,0.5912248452012383,0.4167207434079658,0.5046436433681893
6,0.001,8,64,0.39178346681922205,0.514271284959214,0.5468570195627157
1,0.001,16,32,0.7905820938215103,0.8183792884062282,0.8382008483285754
2,0.001,16,32,0.720980279983847,0.4385362792108051,0.564558198650018
3,0.001,16,32,0.6416648905939187,0.6917268031321044,0.6775010975856677
5,0.001,16,32,0.7348522961816306,0.5002701922922141,0.6090369204671365
6,0.001,16,32,0.2681723557081108,0.5132773232217318,0.5443049218788998
1,0.1,64,512,0.5227235421247065,0.5767635964753592,0.5455128205128206
2,0.1,64,512,0.49678755178654227,0.38771537219006597,0.5
3,0.1,64,512,0.552122406933788,0.5613559587726206,0.5770754861681313
5,0.1,64,512,0.5569111197110423,0.40877515479876164,0.5
6,0.1,64,512,0.482997234935164,0.482997234935164,0.5
1,0.1,16,512,0.6257206181480983,0.5663564667585799,0.5185897435897436
2,0.1,16,512,0.42339573892104515,0.38771537219006597,0.5
3,0.1,16,512,0.7398470801364023,0.5235889102017619,0.49604430379746833
5,0.1,16,512,0.5205807103543172,0.4249299631866602,0.5438379658316368
6,0.1,16,512,0.3513229405034325,0.4710470696669209,0.45708695652173914
1,1e-05,64,64,0.7244671781756181,0.869919582194529,0.8180517815406043
2,1e-05,64,64,0.7205304661910531,0.7071875547668783,0.8015865264075019
3,1e-05,64,64,0.6458093563512362,0.7241032881270182,0.7194349707437544
5,1e-05,64,64,0.664326410388717,0.7086701478621762,0.756135723238894
6,1e-05,64,64,0.7010218026951436,0.7220232878151014,0.7529629489985559
1,0.1,8,1024,0.4054014578752935,0.5602848166345105,0.5
2,0.1,8,1024,0.4566258730799719,0.3810117246284406,0.48054347826086957
3,0.1,8,1024,0.2875222009093492,0.5235889102017619,0.5
5,0.1,8,1024,0.5976640436876506,0.40877515479876164,0.5
6,0.1,8,1024,0.2126168001525553,0.482997234935164,0.5
1,0.001,32,32,0.7126368043403478,0.8488285480706703,0.8081496428685251
2,0.001,32,32,0.6636671602279356,0.5844604376680931,0.7149986711511737
3,0.001,32,32,0.5620524296675191,0.7129047889059144,0.7144927449968916
5,0.001,32,32,0.6568562951496388,0.6994403941718579,0.7816508452145088
6,0.001,32,32,0.6943951817950673,0.7169940873282539,0.729298516768391
1,0.1,8,512,0.5945985421247064,0.5602848166345105,0.5
2,0.1,8,512,0.7052584840190843,0.45326499576547924,0.5888194757433814
3,0.1,8,512,0.6326610897982381,0.5235889102017619,0.5
5,0.1,8,512,0.5912248452012383,0.40877515479876164,0.5
6,0.1,8,512,0.5250111238240529,0.4828049272428563,0.49935897435897436
1,0.01,8,512,0.4397151833654896,0.5602848166345105,0.5
2,0.01,8,512,0.49678755178654227,0.38771537219006597,0.5
3,0.01,8,512,0.4094584754191532,0.5235889102017619,0.5
5,0.01,8,512,0.5569111197110423,0.40877515479876164,0.5
6,0.01,8,512,0.673252765064836,0.482997234935164,0.5
1,0.0001,64,1024,0.7866693588190425,0.8754860073526661,0.8696499384231795
2,0.0001,64,1024,0.8142842987690881,0.734879985679785,0.8293892606783447
3,0.0001,64,1024,0.7671231173628872,0.7663635975662784,0.8380503256022118
5,0.0001,64,1024,0.7614572583419332,0.6478375769195935,0.7227574004115054
6,0.0001,64,1024,0.789436339944063,0.7827745804808957,0.8548639005709625
1,0.0001,64,32,0.7313164625117782,0.8825164569138743,0.8412620986631202
2,0.0001,64,32,0.7704904578154679,0.7432982587094971,0.816678974886816
3,0.0001,64,32,0.6860915743108837,0.7583700634425832,0.7659849956939395
5,0.0001,64,32,0.7173439112487101,0.7286505394366601,0.7636601101337
6,0.0001,64,32,0.769420607678617,0.7822205285328191,0.8359538609826582
1,1e-05,8,64,0.7429243598659907,0.8649378141049687,0.8470448579266885
2,1e-05,8,64,0.7784710070145525,0.7435017773192276,0.8218936473594609
3,1e-05,8,64,0.655572428246661,0.7470313165392611,0.7422482590432168
5,1e-05,8,64,0.7030433006535948,0.72937650882157,0.7681349424484447
6,1e-05,8,64,0.7474391367912535,0.7772876904354021,0.8168417056907886
1,0.001,32,512,0.4883485421247065,0.571823278172972,0.5307692307692308
2,0.001,32,512,0.7125261737036539,0.41917704776938863,0.5500575373993095
3,0.001,32,512,0.6277964265416311,0.6241147982420443,0.6224182572120154
5,0.001,32,512,0.28683888028895765,0.40877515479876164,0.5
6,0.001,32,512,0.36886680015255535,0.482997234935164,0.5
1,0.01,8,128,0.32421810734209777,0.5602848166345105,0.5
2,0.01,8,128,0.5766042610789548,0.38771537219006597,0.5
3,0.01,8,128,0.44377220090934927,0.5235889102017619,0.5
5,0.01,8,128,0.6319777691778465,0.40877515479876164,0.5
6,0.01,8,128,0.44224431095855576,0.482997234935164,0.5
1,0.1,8,128,0.44615438185190176,0.5602848166345105,0.5
2,0.1,8,128,0.7264150625925427,0.38771537219006597,0.5
3,0.1,8,128,0.4611333120204603,0.5574375315503832,0.5548762945914845
5,0.1,8,128,0.3680222308221534,0.40877515479876164,0.5
6,0.1,8,128,0.40150568904144424,0.482997234935164,0.5
1,0.001,32,128,0.5331109035910322,0.5800857224830598,0.5432835820895523
2,0.001,32,128,0.6350361197110423,0.4020999709354694,0.5289849801624787
3,0.001,32,128,0.44377220090934927,0.5235889102017619,0.5
5,0.001,32,128,0.5237057103543172,0.4370887783097535,0.5607887049659201
6,0.001,32,128,0.326747234935164,0.482997234935164,0.5
1,0.01,16,1024,0.32421810734209777,0.5602848166345105,0.5
