Test Donor,Pre-layer,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precison,Average of AUC
1,mixed8,0.001,16,0.8877074617230657,0.9468159078067588,0.956327609340609
2,mixed8,0.001,16,0.8474718507591458,0.8866147231383754,0.9220424095020784
3,mixed8,0.001,16,0.9022548443584248,0.8822746590584696,0.9290673115186272
5,mixed8,0.001,16,0.8681796234350638,0.8744677083728798,0.9304103370456215
6,mixed8,0.001,16,0.8902933602426252,0.8731369113627678,0.9121430222665579
1,mixed8,0.001,32,0.9070557467143681,0.9472532530946487,0.95159026676108
2,mixed8,0.001,32,0.8372400368894832,0.8875819067016566,0.9112552208325024
3,mixed8,0.001,32,0.8638011652957306,0.8820533217374763,0.9200690808735537
5,mixed8,0.001,32,0.8768037641943202,0.9041941294239347,0.9476906215596342
6,mixed8,0.001,32,0.8787813597399863,0.9080666486403746,0.943933215000536
1,mixed8,0.01,16,0.8863369854727515,0.916631845001656,0.9298578033388029
2,mixed8,0.01,16,0.8453583319582019,0.8887011645889155,0.9255622964775267
3,mixed8,0.01,16,0.7302493030114513,0.8346434985467298,0.8274585013059094
5,mixed8,0.01,16,0.8246078182483741,0.8705712302088798,0.948102288495775
6,mixed8,0.01,16,0.8290656648417707,0.9041165676237437,0.9346137702615915
1,mixed8,0.01,32,0.8953899824569184,0.9506783047989764,0.9619191097544493
2,mixed8,0.01,32,0.8881315216359124,0.892843350128372,0.9403973365430434
3,mixed8,0.01,32,0.8677432547637152,0.8853032204082665,0.9227489023164154
5,mixed8,0.01,32,0.8901685666455302,0.8929786970377233,0.9540077579034847
6,mixed8,0.01,32,0.8965750511129376,0.8845974032998842,0.9289762412543857
1,mixed9,0.001,16,0.8937846796170089,0.9388965567165717,0.9473888770532896
2,mixed9,0.001,16,0.8613481276169951,0.8629627325733034,0.9043389764107892
3,mixed9,0.001,16,0.8902131431303426,0.882748151236487,0.9054387338445319
5,mixed9,0.001,16,0.876894187412506,0.8904235697158789,0.93989392202162
6,mixed9,0.001,16,0.8993397982991788,0.8866137278805266,0.9202871957510079
1,mixed9,0.001,32,0.9036213096698845,0.9673719534859058,0.9637736073014186
2,mixed9,0.001,32,0.8819132969952345,0.893599385297772,0.9119326704064654
3,mixed9,0.001,32,0.876722022534043,0.8708561022563557,0.8982283135395496
5,mixed9,0.001,32,0.8667683281717624,0.8905337344324997,0.9264556194233322
6,mixed9,0.001,32,0.8991987070634344,0.8606000503213725,0.9168681425955678
1,mixed9,0.01,16,0.8686434818335477,0.949505724137368,0.9492804952393226
2,mixed9,0.01,16,0.8876777465637362,0.8669603994713844,0.9061933698984548
3,mixed9,0.01,16,0.8658724741365407,0.8691003189687261,0.9065627489890733
5,mixed9,0.01,16,0.8590089898637161,0.9079030449211263,0.9293028783382639
6,mixed9,0.01,16,0.8816692194833687,0.8559148878693148,0.9104058204735537
1,mixed9,0.01,32,0.9029122870560639,0.9589851586168685,0.9579554918438666
2,mixed9,0.01,32,0.8823366993088915,0.8661487594313448,0.9106385042029792
3,mixed9,0.01,32,0.8694164592981728,0.8574323020253315,0.905119372645921
5,mixed9,0.01,32,0.8772724409635749,0.8930809666725561,0.9277377440226059
6,mixed9,0.01,32,0.8826974215985275,0.8952016861854738,0.9248855344023414
