Test Donor,Pre-layer,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precison,Average of AUC
1,mixed10,0.001,16,0.838231536645822,0.93590753288019,0.9452147915029465
2,mixed10,0.001,16,0.843056654883821,0.8566845797990065,0.908351945601043
3,mixed10,0.001,16,0.8343441107347757,0.8288818548851549,0.896794784633171
5,mixed10,0.001,16,0.869621398004601,0.8729857187048211,0.922016583768548
6,mixed10,0.001,16,0.8831268721599207,0.883106379942981,0.9260007319259872
1,mixed10,0.001,32,0.8564087685840861,0.9317448662994927,0.9460904115932365
2,mixed10,0.001,32,0.8548284045691391,0.8665366410641077,0.9163109848209576
3,mixed10,0.001,32,0.8192892300868644,0.8377659405981895,0.9095023051427038
5,mixed10,0.001,32,0.8344991667968547,0.8761639230585395,0.9204290139788561
6,mixed10,0.001,32,0.8616301036522827,0.8791524724622584,0.9252995936460322
1,mixed10,0.01,16,0.4404926569144873,0.5595073430855126,0.5
2,mixed10,0.01,16,0.6138879271847577,0.3861120728152424,0.5
3,mixed10,0.01,16,0.5913673504066725,0.5227630843759361,0.5
5,mixed10,0.01,16,0.4022876040355214,0.407171855423938,0.5
6,mixed10,0.01,16,0.5186060644396595,0.4813939355603404,0.5
1,mixed10,0.01,32,0.4538754164017957,0.5941877844985952,0.5705223880597015
2,mixed10,0.01,32,0.6138879271847577,0.3861120728152424,0.5
3,mixed10,0.01,32,0.2866963750835234,0.5227630843759361,0.5
5,mixed10,0.01,32,0.4022876040355214,0.407171855423938,0.5
6,mixed10,0.01,32,0.5186060644396595,0.4813939355603404,0.5
