Test Donor,Pre-layer,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precison,Average of AUC
1,mixed8,0.001,16,0.9055801998482227,0.9519713163415067,0.957301920890616
2,mixed8,0.001,16,0.8906469667263468,0.8881849323582901,0.92061736586389
3,mixed8,0.001,16,0.8939714090689155,0.8940927023457839,0.9089881752631509
5,mixed8,0.001,16,0.8735850288404692,0.907860835215692,0.936115775850766
6,mixed8,0.001,16,0.8979938596550809,0.901541144077328,0.926155529937371
1,mixed8,0.001,32,0.8923091327508635,0.9517498962947133,0.9574259272866634
2,mixed8,0.001,32,0.8785987257159442,0.8967214219518144,0.9191185509866175
3,mixed8,0.001,32,0.8930276664132164,0.881216688676719,0.9145274292775627
5,mixed8,0.001,32,0.8813569551785719,0.8964098917376442,0.9352674760627098
6,mixed8,0.001,32,0.9090014170679852,0.8971780084579322,0.9351331771005292
1,mixed8,0.01,16,0.8954680115951885,0.9583150994428178,0.9594822929431019
2,mixed8,0.01,16,0.8743086335082181,0.8937642780905163,0.9226147162274331
3,mixed8,0.01,16,0.8920986123591623,0.8904014204717707,0.92854309029858
5,mixed8,0.01,16,0.8741043736272824,0.9130484269742112,0.9515179358974306
6,mixed8,0.01,16,0.8826500657166338,0.8876108691661238,0.9148242791121444
1,mixed8,0.01,32,0.8703899824569185,0.949850702762485,0.9577084532263347
2,mixed8,0.01,32,0.8793833763985887,0.8855311377244863,0.9153886221642492
3,mixed8,0.01,32,0.8915477897974702,0.8888551576033329,0.9306568343300091
5,mixed8,0.01,32,0.8793484799403279,0.9044855590498244,0.9302976800525258
6,mixed8,0.01,32,0.9014791124688398,0.8813327994762863,0.9416515126279137
1,mixed9,0.001,16,0.9119451415273323,0.9348442059416273,0.9361793725534168
2,mixed9,0.001,16,0.8801374412272805,0.8745764518845548,0.9092907270353521
3,mixed9,0.001,16,0.8912653942305476,0.8841878068686535,0.9002922228317346
5,mixed9,0.001,16,0.8700377315431719,0.8975042850626497,0.9378998556569241
6,mixed9,0.001,16,0.8876550156904831,0.8667440610949314,0.9005179221774078
1,mixed9,0.001,32,0.8904564373500091,0.9491922725097002,0.9454181791354258
2,mixed9,0.001,32,0.888289615140324,0.8809276711336895,0.9034429353367768
3,mixed9,0.001,32,0.8740193198313403,0.8830718984587518,0.9060468714686585
5,mixed9,0.001,32,0.8760529049535765,0.9074897285423609,0.9158270177039318
6,mixed9,0.001,32,0.8929960629453279,0.8726302870143188,0.9035891601523058
1,mixed9,0.01,16,0.8969412639396045,0.9471057037171596,0.951730395166289
2,mixed9,0.01,16,0.8758021811116735,0.8642208359307723,0.9020500469257076
3,mixed9,0.01,16,0.8810571761019331,0.856448775118775,0.8993793409222637
5,mixed9,0.01,16,0.8702218901152087,0.9027052350378634,0.9284672862363309
6,mixed9,0.01,16,0.8874201891008877,0.8540496623493008,0.9092012463410821
1,mixed9,0.01,32,0.8975395489309068,0.9498196039958432,0.9477702272926335
2,mixed9,0.01,32,0.8760685920238646,0.8725688346926347,0.9109142587170137
3,mixed9,0.01,32,0.8791696907905348,0.8771859901029456,0.9113967094082476
5,mixed9,0.01,32,0.8702218901152087,0.9109743360650773,0.9326666481661612
6,mixed9,0.01,32,0.8916300229923314,0.8802010660408939,0.911958509258733
